model,n_layers,task,position,peak_layer,peak_depth_fraction,peak_disruption
llama-3.2-3b-instruct,28,uppercase,last_demo_token,0,0.0,0
llama-3.2-3b-instruct,28,uppercase,first_query_token,0,0.0,0
llama-3.2-3b-instruct,28,first_letter,last_demo_token,0,0.0,0
llama-3.2-3b-instruct,28,first_letter,first_query_token,0,0.0,0
llama-3.2-3b-instruct,28,repeat_word,last_demo_token,0,0.0,0
llama-3.2-3b-instruct,28,repeat_word,first_query_token,0,0.0,0
llama-3.2-3b-instruct,28,length,last_demo_token,0,0.0,0
llama-3.2-3b-instruct,28,length,first_query_token,0,0.0,0
llama-3.2-3b-instruct,28,linear_2x,last_demo_token,0,0.0,0
llama-3.2-3b-instruct,28,linear_2x,first_query_token,0,0.0,0
llama-3.2-3b-instruct,28,sentiment,last_demo_token,0,0.0,0
llama-3.2-3b-instruct,28,sentiment,first_query_token,0,0.0,0
llama-3.2-3b-instruct,28,antonym,last_demo_token,0,0.0,0
llama-3.2-3b-instruct,28,antonym,first_query_token,0,0.0,0
llama-3.2-3b-instruct,28,pattern_completion,last_demo_token,0,0.0,0
llama-3.2-3b-instruct,28,pattern_completion,first_query_token,0,0.0,0
llama-3.2-1b-instruct,16,uppercase,first_query_token,0,0.0,1.0
llama-3.2-1b-instruct,16,first_letter,first_query_token,0,0.0,0.7
llama-3.2-1b-instruct,16,repeat_word,first_query_token,0,0.0,1.0
llama-3.2-1b-instruct,16,length,first_query_token,0,0.0,0.4
llama-3.2-1b-instruct,16,linear_2x,first_query_token,0,0.0,0.4
llama-3.2-1b-instruct,16,sentiment,first_query_token,0,0.0,0.7
llama-3.2-1b-instruct,16,antonym,first_query_token,0,0.0,1.0
llama-3.2-1b-instruct,16,pattern_completion,first_query_token,0,0.0,0.4
qwen2.5-1.5b-instruct,28,uppercase,first_query_token,0,0.0,1.0
qwen2.5-1.5b-instruct,28,first_letter,first_query_token,4,0.143,0.7
qwen2.5-1.5b-instruct,28,repeat_word,first_query_token,0,0.0,1.0
qwen2.5-1.5b-instruct,28,length,first_query_token,4,0.143,0.6
qwen2.5-1.5b-instruct,28,linear_2x,first_query_token,0,0.0,0.3
qwen2.5-1.5b-instruct,28,sentiment,first_query_token,2,0.071,0.7
qwen2.5-1.5b-instruct,28,antonym,first_query_token,0,0.0,1.0
qwen2.5-1.5b-instruct,28,pattern_completion,first_query_token,0,0.0,1.0
gemma-2-2b-it,26,uppercase,first_query_token,0,0.0,0.8
gemma-2-2b-it,26,first_letter,first_query_token,1,0.038,0.8
gemma-2-2b-it,26,repeat_word,first_query_token,0,0.0,0.5
gemma-2-2b-it,26,length,first_query_token,0,0.0,0.0
gemma-2-2b-it,26,linear_2x,first_query_token,0,0.0,0.1
gemma-2-2b-it,26,sentiment,first_query_token,4,0.154,0.4
gemma-2-2b-it,26,antonym,first_query_token,0,0.0,0.3
gemma-2-2b-it,26,pattern_completion,first_query_token,0,0.0,0.3
